ts_utc,event,case_code,case_category,entered_code,correct,response_time_s,keystrokes,code_length,keystroke_efficiency,time_remaining_s,time_limit_s,stability,score
2026-04-22T08:03:25Z,case_start,J30.9,Respiratory,,0,0,0,5,0.000,30,30,100,0
2026-04-22T08:03:38Z,submit,J30.9,Respiratory,I26.9,0,13,1,5,0.200,17,30,54,-25
2026-04-22T08:03:49Z,submit,J30.9,Respiratory,R07.1,0,24,3,5,0.600,6,30,12,-50
2026-04-22T08:03:50Z,submit,J30.9,Respiratory,R07.1,0,25,3,5,0.600,5,30,0,-75
2026-04-22T08:03:50Z,game_over:stability,J30.9,Respiratory,,0,0,0,0,0.000,5,0,0,-75
2026-04-22T08:03:50Z,log_saved,,,12::/Users/datah/Desktop/2026/compro2/ICD10_Code/data/game_logs/session_12_20260422_150350.csv,0,0,0,0,0.000,5,30,0,-75
2026-04-22T08:03:58Z,log_saved,,,12::/Users/datah/Desktop/2026/compro2/ICD10_Code/data/game_logs/session_12_20260422_150358.csv,0,0,0,0,0.000,5,30,0,-75
2026-04-22T08:03:59Z,log_saved,,,12::/Users/datah/Desktop/2026/compro2/ICD10_Code/data/game_logs/session_12_20260422_150359.csv,0,0,0,0,0.000,5,30,0,-75
2026-04-22T08:04:24Z,case_start,L20.9,Dermatology,,0,0,0,5,0.000,30,30,100,0
2026-04-22T08:04:54Z,game_over:timeout,L20.9,Dermatology,,0,0,0,0,0.000,0,0,40,0
